2014-10-22 18:35:22 upgrade base-files:amd64 7.2ubuntu7 7.2ubuntu7
2014-10-22 18:35:22 status half-configured base-files:amd64 7.2ubuntu7
2014-10-22 18:35:23 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:23 status half-installed base-files:amd64 7.2ubuntu7
2014-10-22 18:35:23 status half-installed base-files:amd64 7.2ubuntu7
2014-10-22 18:35:23 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:23 status unpacked base-files:amd64 7.2ubuntu7
2014-10-22 18:35:24 upgrade base-passwd:amd64 3.5.36 3.5.36
2014-10-22 18:35:24 status half-configured base-passwd:amd64 3.5.36
2014-10-22 18:35:24 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:24 status half-installed base-passwd:amd64 3.5.36
2014-10-22 18:35:24 status half-installed base-passwd:amd64 3.5.36
2014-10-22 18:35:24 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:24 status unpacked base-passwd:amd64 3.5.36
2014-10-22 18:35:24 install bash:amd64 <none> 4.3-11ubuntu1
2014-10-22 18:35:24 status half-installed bash:amd64 4.3-11ubuntu1
2014-10-22 18:35:25 status unpacked bash:amd64 4.3-11ubuntu1
2014-10-22 18:35:25 status unpacked bash:amd64 4.3-11ubuntu1
2014-10-22 18:35:25 install bsdutils:amd64 <none> 1:2.25.1-3ubuntu4
2014-10-22 18:35:25 status half-installed bsdutils:amd64 1:2.25.1-3ubuntu4
2014-10-22 18:35:25 status unpacked bsdutils:amd64 1:2.25.1-3ubuntu4
2014-10-22 18:35:25 status unpacked bsdutils:amd64 1:2.25.1-3ubuntu4
2014-10-22 18:35:25 install busybox-initramfs:amd64 <none> 1:1.22.0-8ubuntu1
2014-10-22 18:35:25 status half-installed busybox-initramfs:amd64 1:1.22.0-8ubuntu1
2014-10-22 18:35:26 status unpacked busybox-initramfs:amd64 1:1.22.0-8ubuntu1
2014-10-22 18:35:26 status unpacked busybox-initramfs:amd64 1:1.22.0-8ubuntu1
2014-10-22 18:35:26 install coreutils:amd64 <none> 8.23-2ubuntu3
2014-10-22 18:35:26 status half-installed coreutils:amd64 8.23-2ubuntu3
2014-10-22 18:35:30 status unpacked coreutils:amd64 8.23-2ubuntu3
2014-10-22 18:35:30 status unpacked coreutils:amd64 8.23-2ubuntu3
2014-10-22 18:35:30 install cpio:amd64 <none> 2.11+dfsg-2ubuntu1
2014-10-22 18:35:30 status half-installed cpio:amd64 2.11+dfsg-2ubuntu1
2014-10-22 18:35:30 status unpacked cpio:amd64 2.11+dfsg-2ubuntu1
2014-10-22 18:35:30 status unpacked cpio:amd64 2.11+dfsg-2ubuntu1
2014-10-22 18:35:30 install dash:amd64 <none> 0.5.7-4ubuntu1
2014-10-22 18:35:30 status half-installed dash:amd64 0.5.7-4ubuntu1
2014-10-22 18:35:31 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-10-22 18:35:31 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-10-22 18:35:31 upgrade debconf:all 1.5.53ubuntu1 1.5.53ubuntu1
2014-10-22 18:35:31 status half-configured debconf:all 1.5.53ubuntu1
2014-10-22 18:35:31 status unpacked debconf:all 1.5.53ubuntu1
2014-10-22 18:35:31 status half-installed debconf:all 1.5.53ubuntu1
